Symbol   Probability 0.17676358800789416 Huffman Code 111 
Symbol i Probability 0.04846229626522829 Huffman Code 0001 
Symbol n Probability 0.05210538123152853 Huffman Code 0010 
Symbol r Probability 0.052313464620946847 Huffman Code 0100 
Symbol o Probability 0.05240937805825684 Huffman Code 0101 
Symbol h Probability 0.05249066063224837 Huffman Code 0110 
Symbol a Probability 0.05520549860356538 Huffman Code 0111 
Symbol t Probability 0.058097532586183914 Huffman Code 1000 
Symbol s Probability 0.05848443763838358 Huffman Code 1001 
Symbol e Probability 0.09058942871355696 Huffman Code 1101 
Symbol , Probability 0.021786981132688926 Huffman Code 00000 
Symbol u Probability 0.022380343922827072 Huffman Code 00001 
Symbol l Probability 0.029996521105833163 Huffman Code 10100 
Symbol d Probability 0.038584837873777915 Huffman Code 11000 
Symbol y Probability 0.012914175355773827 Huffman Code 001101 
Symbol p Probability 0.01295806794572925 Huffman Code 001110 
Symbol g Probability 0.015362406484398622 Huffman Code 101010 
Symbol c Probability 0.015890743215343547 Huffman Code 101100 
Symbol w Probability 0.016061436620725757 Huffman Code 101101 
Symbol m Probability 0.01616547831543491 Huffman Code 101110 
Symbol f Probability 0.018132516606029866 Huffman Code 101111 
Symbol . Probability 0.005987274400215886 Huffman Code 0011000 
Symbol T Probability 0.006954537030715059 Huffman Code 0011110 
Symbol v Probability 0.0070471991650654 Huffman Code 0011111 
Symbol b Probability 0.010064408311630886 Huffman Code 1100101 
Symbol ' Probability 0.011316159951100404 Huffman Code 1100111 
Symbol ; Probability 0.00402023610962093 Huffman Code 10101110 
Symbol k Probability 0.004366499874824836 Huffman Code 11001000 
Symbol A Probability 0.0052118386443367175 Huffman Code 11001101 
Symbol S Probability 0.0015947641017137618 Huffman Code 001100110 
Symbol H Probability 0.0019377765639580062 Huffman Code 101011001 
Symbol I Probability 0.001954033078756312 Huffman Code 101011011 
Symbol W Probability 0.0021491112563359767 Huffman Code 101011111 
Symbol : Probability 0.002183249937412418 Huffman Code 110010010 
Symbol ! Probability 0.0007185379540850997 Huffman Code 0011001000 
Symbol - Probability 0.0007673074984800159 Huffman Code 0011001001 
Symbol E Probability 0.0007721844529195075 Huffman Code 0011001010 
Symbol P Probability 0.0007981948765967961 Huffman Code 0011001011 
Symbol L Probability 0.0008177026943547627 Huffman Code 0011001110 
Symbol q Probability 0.0008355848606328986 Huffman Code 0011001111 
Symbol x Probability 0.0009054878742656119 Huffman Code 1010110001 
Symbol F Probability 0.0010306630382125638 Huffman Code 1010110101 
Symbol N Probability 0.0010452939015310385 Huffman Code 1010111101 
Symbol j Probability 0.001154212550679685 Huffman Code 1100100110 
Symbol B Probability 0.001220864261352737 Huffman Code 1100100111 
Symbol " Probability 0.0012631311998283312 Huffman Code 1100110001 
Symbol O Probability 0.0012858903205459587 Huffman Code 1100110010 
Symbol G Probability 0.0004210437332761104 Huffman Code 10101100000 
Symbol z Probability 0.0004519311113928907 Huffman Code 10101101000 
Symbol R Probability 0.00046981327767102666 Huffman Code 10101101001 
Symbol ? Probability 0.0004958237013483153 Huffman Code 10101111000 
Symbol D Probability 0.0005933627901381479 Huffman Code 11001100000 
Symbol M Probability 0.0006600145008112001 Huffman Code 11001100001 
Symbol C Probability 0.0006892762274481499 Huffman Code 11001100111 
Symbol U Probability 0.00021458599533763156 Huffman Code 101011000010 
Symbol ) Probability 0.00023084251013593698 Huffman Code 101011000011 
Symbol ( Probability 0.00023084251013593698 Huffman Code 101011110010 
Symbol Y Probability 0.00031862769004678624 Huffman Code 101011110011 
Symbol J Probability 0.0003462637652039055 Huffman Code 110011001101 
Symbol V Probability 0.000173944708341868 Huffman Code 1100110011001 
Symbol K Probability 7.640561955203547e-05 Huffman Code 11001100110001 
Symbol Q Probability 3.413868107644138e-05 Huffman Code 110011001100000 
Symbol X Probability 1.4630863318474879e-05 Huffman Code 1100110011000010 
Symbol > Probability 9.753908878983252e-06 Huffman Code 11001100110000110 
Symbol & Probability 1.625651479830542e-06 Huffman Code 1100110011000011100 
Symbol @ Probability 1.625651479830542e-06 Huffman Code 11001100110000111010 
Symbol < Probability 1.625651479830542e-06 Huffman Code 11001100110000111011 
Symbol [ Probability 1.625651479830542e-06 Huffman Code 11001100110000111100 
Symbol Z Probability 1.625651479830542e-06 Huffman Code 11001100110000111101 
Symbol  Probability 1.625651479830542e-06 Huffman Code 11001100110000111110 
Symbol ] Probability 1.625651479830542e-06 Huffman Code 11001100110000111111 
